entry_used,question,t_question,correct_answer,type,entry_index
,How does the color of a car affect its resale value?,How does the color of a car affect its resale value?,I am not aware of that topic,3,-1.0
,How does your credit score impact the cost of car insurance premiums?,How does your credit score impact the cost of car insurance premiums?,I am not aware of that topic,3,-1.0
,How can a person's credit score impact their ability to qualify for lower car insurance rates?,How can a person's credit score impact their ability to qualify for lower car insurance rates?,I am not aware of that topic,3,-1.0
,How does your credit score impact your car insurance rates?,How does your credit score impact your car insurance rates?,I am not aware of that topic,3,-1.0
,How do advancements in autonomous vehicle technology impact the future of car insurance rates?,How do advancements in autonomous vehicle technology impact the future of car insurance rates?,I am not aware of that topic,3,-1.0
,How do autonomous vehicles impact the future of car insurance?,How do autonomous vehicles impact the future of car insurance?,I am not aware of that topic,3,-1.0
,How do weather conditions impact the cost of car insurance premiums?,How do weather conditions impact the cost of car insurance premiums?,I am not aware of that topic,3,-1.0
"2 or 4 of your policy and the loss or damage 
happens outside the territorial limits, we’ll either:
> repay your travel costs up to £50 per day, up 
to a total of £500 per claim, or 
>
treat your claim as if it happened within the 
territorial limits so long as:
•
you can get your car back to the territorial 
limits for it to be repaired, or
•
your car is written off, or is stolen and not 
recovered.
You’re not covered for
8 We won’t provide you with a hire car if 
you’re only claiming for windscreen or 
glass damage.
Paying a deposit
When you collect your hire car, the hire car 
company may charge you a refundable 
deposit. When you return the hire car, this 
deposit will be refunded to you. This will be 
covered by the hire car company’s terms 
and conditions. 
Using your hire car
You may only use the hire car:
> While your car remains off the road or being 
repaired as a result of an accident, fire or 
theft covered by this section of your policy.
> Within the territorial limits, unless the 
hire car company gives you permission 
and appropriate insurance cover to use 
it elsewhere.
The hire car company’s terms and conditions 
apply as well as ours. They’ll give you a copy 
of these when you collect the hire car. If there’s 
any conflict between our terms and the hire car 
company’s, our terms will apply.
How you’re insured while using 
your hire car
While you’re driving the hire car during the 
hire period, it’s insured under your policy. 
Your cover to drive the hire car is restricted 
to the limits on use and exclusions shown 
on your certificate of motor insurance, 
and in the terms of your policy. 
If we need to pay a claim for loss or damage 
to the hire car, we’ll pay this to the hire car 
company. If you have an excess on your policy, 
you’ll need to pay this.
If you have Essentials or 
Comprehensive and remove your 
Guaranteed Hire Car Plus cover
If you remove your Guaranteed Hire Car Plus 
within 14 days of either your cover starting, or 
receiving your documents (whichever is later), 
we’ll return any premium you’ve paid. We’ll do 
this so long as we haven’t provided you with a 
hire car during that time.
If you remove your Guaranteed Hire Car Plus 
after this 14-day period, we’ll give you a refund 
that reflects the number of days of cover you’ve 
had, unless we’ve provided you with a hire car
during that time. If we’ve provided you with a 
hire car, you’ll need to pay the Guaranteed 
Hire Car Plus premium for the whole period",Under what circumstances will key theft be covered?,Under what circumstnces will key theft be covered?,"Key theft will be covered under Essentials, Comprehensive, and Comprehensive Plus policies.",0,27.0
"calculating the total value of your claim.
> If it would be reasonable to spend more in 
pursuing a claim than the benefit you would 
get in doing so.
Your appointed representative will assess the 
potential value to be gained in pursuing your 
case and the cost to take legal action.
If there are conflicting opinions about whether 
your claim is likely to succeed, we’ll ask you 
to get an expert opinion from a barrister. We’ll 
agree which barrister with you.
If the barrister agrees with you, you won’t need 
to pay for their advice. If they don’t agree with 
you, you’ll have to pay the costs for their advice.
Section 7: Motor Legal Cover continued
Settling or ending your claim
Offers to settle your claim
You must tell us if anyone:
> Offers to settle your claim.
> Makes a payment into court.
If you refuse to accept an offer or payment 
that we or your appointed representative
think you should accept, we can refuse to 
cover any further costs.
Approval to settle or end your claim
Unless we agree, you must not:
> Stop, settle, negotiate or withdraw your claim.
> Dismiss your appointed representative.
We won’t withhold our agreement to take these 
actions without good reason.
When we might choose to settle your claim
We can settle your claim outside of court if we 
think it makes financial sense to do this. We’ll do 
this by covering you for:
> The amount you’re likely to be awarded by a 
court.
> The equivalent financial value, if your claim 
is not for damages.
Checking costs
We have the right to have costs:
> Certified by an appropriate professional body.
> Checked by an auditor (for example a Costs 
Lawyer) that we choose.
> Assessed by a court.
Recovering costs
If your costs can be recovered from somewhere 
else, you must tell your appointed representative
to do this. If we’ve paid costs that you then 
recover, you must pay the money back to us.
We’ll share recovered costs with you if:
> We refused to cover further costs and you 
paid more costs to end your claim.
> You paid the difference between the costs we 
offered your appointed representative and 
the costs they charged.
We’ll split any recovered costs to reflect who 
paid costs originally. For example, if you paid 
60% of the original costs, you’ll receive 60% 
of the recovered costs.
Section 7: Motor Legal Cover
Co-operating with us and your appointed 
representative 
We can contact your appointed representative
at any time, and they must co-operate with us.
You must:",What actions can lead to refusal of coverage for further costs?,What actions can lead to refusl of coverage for further costs and expenses in the event of a claim?,Refusing to accept an offer or payment that the insurer or appointed representative thinks should be accepted can lead to a refusal of coverage for further costs.,1,24.0
"dangerous properties of nuclear 
equipment or its nuclear parts.
Pollution
	
✘We won’t cover any loss, damage, liability  
or injury caused by identifiable pollution  
or contamination, unless it’s come from  
a sudden and unexpected accident.
War
	
✘We won’t cover any injury, loss, damage or 
liability caused by war, invasion, revolution, 
military or usurped power or arising from 
Government Action or a similar event  
except as is strictly required under the  
Road Traffic Act.
	
Government Action includes:
•	 Martial law, confiscation, nationalisation, 
requisition or destruction or damage of 
property.
	
These actions carried out by or under the 
order of:
•	 Any government or public or local 
authority.
	
It also includes any action taken in:
•	 Controlling, preventing, suppressing any 
activity relating to war.
Riot
	
✘We won’t cover any loss or damage to 
your car or property caused by riot or civil 
commotion outside Great Britain, the Isle  
of Man or the Channel Islands. 
Use on airfields
	
✘We won’t cover any loss, damage, liability or 
injury caused by using your car in any area 
where aircraft normally operate, such as any 
area where aircraft take off, land and/or park.
Speed assessment equipment
	
✘We won’t cover any loss or damage to a 
speed assessment detection device.
Use on Nürburgring Nordschleife
	
✘We won’t cover any loss, damage, liability 
or injury that happens when your car is 
being used or driven on the Nürburgring 
Nordschleife in Germany, unless strictly 
required by German road traffic laws.
Losses we don’t cover continued
Page 35
Pressure waves
	
✘We don’t cover any damage caused by 
pressure waves from an aircraft or other 
flying object travelling at or beyond the 
speed of sound.
Automated cars
	
✘We won’t cover any loss, damage or injury 
caused by your automated car driving 
itself at any time or place that the use of 
automated functions is unlawful.
	
✘Unless we’re required to do so under the law 
of the country in which the accident occurs, 
we won’t cover any loss, damage or injury:
•	 To the person in charge of your automated 
car where the accident was wholly due to 
that person’s negligence in allowing your 
automated car to begin driving itself when 
it was not appropriate to do so.
•	 To an insured person if the accident is 
caused by a failure to install safety critical 
updates to your automated car or its 
software has been altered without the 
approval of the manufacturer. We may",What types of losses are not covered related to the use of automated cars?,"Hello, I was wondering what types of losses are not covered related to the use of automated cars in my policy?","Losses not covered related to the use of automated cars include any loss, damage or injury caused by the automated car driving itself at any time or place that the use of automated functions is unlawful.",2,32.0
